1. 학생들이 교실에서 공부하고 있어요.(*Haksaengdeuri gyosil-eseo gongbuhago isseoyo.*),*The students are studying in the classroom.*  
2. 친구들이 주말에 파티를 열었어요.(*Chingudeuri jumal-e patireul yeoreosseoyo.*),*The friends held a party over the weekend.*  
3. 사람들이 공원에서 산책을 하고 있어요.  (*Saramdeuri gongwon-eseo sanchaekeul hago isseoyo.*),*People are taking a walk in the park.*  
4. 고양이들이 창문 옆에 앉아 있어요.  (*Goyangideuri changmun yeope anja isseoyo.*) ,*The cats are sitting next to the window.*  
5. 몇 살이에요?  (*Myeot sal-ieyo?*),*How old are you?*  
6. 몇 시에 만날까요?  (*Myeot sie mannalkkayo?*) ,*What time shall we meet?*  
7. 책 몇 권을 샀어요?  (*Chaek myeot gwoneul sasseoyo?*) , *How many books did you buy?*  
8. 가방에 펜 몇 개 있어요?  (*Gabang-e pen myeot gae isseoyo?*) , *How many pens are in the bag?*  
9. 그 가게에 사람들이 많았어요.  (*Geu gage-e saramdeuri manasseoyo.*) ,*There were many people at the store.*  
10. 아이들이 놀이터에서 놀고 있어요.  (*Aideuri noriteo-eseo nolgo isseoyo.*) , *The children are playing in the playground.*  
11. 몇 분이 회의에 참석했어요?  (*Myeot buni hoeui-e chamseokhaesseoyo?*),  *How many people attended the meeting?*  
12. 몇 시간 동안 기다렸어요?  (*Myeot sigan dongan gidaryeosseoyo?*) , *How many hours did you wait?*  
13. 몇 명이 이 여행에 참여할 거예요?  (*Myeot myeongi i yeohaeng-e chamyeo-hal geoyeyo?*),  *How many people will join this trip?*  
14. 강아지들이 마당에서 뛰어놀고 있어요.  (*Gangajideuri madang-eseo ttwieonolgo isseoyo.*)  ,*The puppies are running and playing in the yard.*  
15. 몇 가지 옵션이 있어요?  (*Myeot gaji opsyoni isseoyo?*) ,*How many options are there?*  
